department_name,region_name,climate_score,immo_score,attr_score,dyn_score,global_score
Haute-Corse,Corse,"2,5212","5,987949231","2,050638487","4,473829868","4,03"
Corse-du-Sud,Corse,"2,5212","4,731917692","2,110177183","5,478916899","3,8"
Cantal,Auvergne,"5,463","6,803465385","1,658573498","4,05025948","4,89"
Haute-Loire,Auvergne,"5,463","7,665177692","1,885153285","3,996539871","5,22"
Allier,Auvergne,"5,463","8,198252308","2,781510445","2,315678989","5,25"
Puy-de-Dôme,Auvergne,"5,463","7,060416923","4,4554201","3,645485159","5,46"
Finistère,Bretagne,"7,92","5,788508462","4,872338403","5,198427979","6,02"
Morbihan,Bretagne,"7,92","5,250927692","4,374529509","6,740097556","6,04"
Ille-et-Vilaine,Bretagne,"7,92","4,514368462","4,232551138","6,479612014","5,7"
Côtes-d'Armor,Bretagne,"7,92","5,711477692","3,845303411","5,114656179","5,77"
Corrèze,Limousin,"4,1454","7,76303","1,750590679","3,68277695","4,84"
Haute-Vienne,Limousin,"4,1454","7,145940769","2,282955569","4,722092039","4,94"
Creuse,Limousin,"4,1454","9,51612","1,341019261","1,501969686","4,94"
Meuse,Lorraine,"7,9636","9,107191538","3,059422415","2,766522739","6,34"
Vosges,Lorraine,"7,9636","7,595436154","2,317602489","4,384101497","5,99"
Meurthe-et-Moselle,Lorraine,"7,9636","7,284481538","3,886669111","3,617320036","6,04"
Aisne,Picardie,"8,606","7,449703846","2,933011728","2,55662636","5,86"
Somme,Picardie,"8,606","6,414126154","2,559285973","3,677312498","5,64"
Oise,Picardie,"8,606","5,803401538","3,931507256","3,656739929","5,7"
Gironde,Aquitaine,"5,6072","4,850684615","5,404183721","6,450440637","5,47"
Landes,Aquitaine,"5,6072","6,0123","2,575995227","4,89429082",5
Pyrénées-Atlantiques,Aquitaine,"5,6072","5,966512308","3,75347838","5,239730534","5,29"
Lot-et-Garonne,Aquitaine,"5,6072","6,975402308","1,817465011","4,578597136","5,12"
Dordogne,Aquitaine,"5,6072","6,296132308","2,428289471","4,091130762","4,91"
Saône-et-Loire,Bourgogne,"7,606","6,742982308","3,488096652","3,813527189","5,72"
Côte-d'Or,Bourgogne,"7,606","6,785818462","3,509372433","3,787446891","5,74"
Yonne,Bourgogne,"7,606","7,596224615","2,277709861","2,852374547","5,59"
Nièvre,Bourgogne,"7,606","8,247735385","1,781657498","0,5807887432","5,26"
Ain,Rhône-Alpes,5,"5,841071538","3,832779782","5,515702204","5,16"
Isère,Rhône-Alpes,5,"5,206390769","5,333871421","5,973266418","5,33"
Haute-Savoie,Rhône-Alpes,5,"4,017361538","4,69375591","6,285144886","4,85"
Ardèche,Rhône-Alpes,5,"5,961306923","2,814280118","3,681263524","4,64"
Savoie,Rhône-Alpes,5,"4,670205385","4,414165246","5,357570068","4,84"
Rhône,Rhône-Alpes,5,"4,11809","4,221673975","7,703047968","5,08"
Loire,Rhône-Alpes,5,"6,375323077","2,638300629","4,98270896","5,01"
Drôme,Rhône-Alpes,5,"5,287166154","2,683853682","5,665940613","4,77"
Jura,Franche-Comté,"7,406","6,825284615","2,724288212","4,310854654","5,65"
Haute-Saône,Franche-Comté,"7,406","8,208203077","1,673443398","4,84772182","6,03"
Doubs,Franche-Comté,"7,406","6,019031538","2,990075393","4,659899098","5,49"
Territoire de Belfort,Franche-Comté,"7,406","6,278133846","1,899214472","3,065041158","5,04"
Essonne,Île-de-France,"7,6048","4,574445385","4,649848991","3,26363702","5,08"
Yvelines,Île-de-France,"7,6048","3,630740769","5,817724294","5,019798352","5,34"
Seine-et-Marne,Île-de-France,"7,6048","4,937218462","4,465818645","3,641542135","5,25"
Seine-Saint-Denis,Île-de-France,"7,6048","3,128586154","2,95952044","4,77976381","4,54"
Val-de-Marne,Île-de-France,"7,6048","2,064656923","4,085184482","5,249227611","4,49"
Hauts-de-Seine,Île-de-France,"7,6048","0,80346","5,470336604","6,870128883","4,65"
Val-d'Oise,Île-de-France,"7,6048","4,390301538","4,281786866","4,446910942","5,18"
Calvados,Basse-Normandie,"7,7322","5,420221538","4,157155472","5,799989282","5,82"
Orne,Basse-Normandie,"7,7322","7,44624","2,358500761","3,739743288","5,76"
Manche,Basse-Normandie,"7,7322","6,432726923","3,041962294","4,946259625","5,78"
Eure,Haute-Normandie,"7,5684","6,572497692","2,592007709","4,576064584","5,63"
Seine-Maritime,Haute-Normandie,"7,5684","5,678425385","4,385756541","3,991001374","5,55"
Aveyron,Midi-Pyrénées,"4,76","6,738407692","2,213625635","3,505882323","4,69"
Tarn,Midi-Pyrénées,"4,76","6,325869231","2,07827786","7,579096313","5,34"
Lot,Midi-Pyrénées,"4,76","6,352013077","1,313581175","4,769631924","4,63"
Hautes-Pyrénées,Midi-Pyrénées,"4,76","6,504851538","2,318259214","4,803368275","4,89"
Gers,Midi-Pyrénées,"4,76","5,939234615","1,572535964","4,959494976","4,58"
Haute-Garonne,Midi-Pyrénées,"4,76","5,250351538","4,507887377","4,992677688","4,93"
Tarn-et-Garonne,Midi-Pyrénées,"4,76","6,488506154","1,047266205","3,818775646","4,43"
Ariège,Midi-Pyrénées,"4,76","6,934673846","1,384618602","4,50405409","4,79"
Maine-et-Loire,Pays de la Loire,"6,2316","5,466088462","3,764288729","6,942856058","5,61"
Vendée,Pays de la Loire,"6,2316","5,921996154","3,760824515","8,009743098","5,98"
Loire-Atlantique,Pays de la Loire,"6,2316","4,407328462","5,029798077","7,563846062","5,62"
Sarthe,Pays de la Loire,"6,2316","6,392061538","3,073204802","2,901490076","4,99"
Mayenne,Pays de la Loire,"6,2316","6,22232","2,491037653","3,501048196","4,93"
Deux-Sèvres,Poitou-Charentes,"4,8484","6,836665385","2,319992914","5,194556559","5,11"
Charente,Poitou-Charentes,"4,8484","6,869156923","2,084251318","4,344323346","4,9"
Vienne,Poitou-Charentes,"4,8484","7,128780769","2,800260477","3,709319115","5,01"
Charente-Maritime,Poitou-Charentes,"4,8484","5,744761538","3,882382802","5,381273053","5,08"
Haute-Marne,Champagne-Ardenne,"8,4654","9,274678462","1,557707322","1,552118892","5,98"
Aube,Champagne-Ardenne,"8,4654","7,383184615","1,922202606","3,007978842","5,69"
Ardennes,Champagne-Ardenne,"8,4654","7,88979","1,850504031","2,65463525","5,78"
Marne,Champagne-Ardenne,"8,4654","6,503134615","3,032806665","2,54318505","5,51"
Nord,Nord-Pas-de-Calais,"8,7878","4,96628","6,521747207","3,579678672","5,96"
Pas-de-Calais,Nord-Pas-de-Calais,"8,7878","6,355668462","5,475418981","3,572090585","6,23"
Indre-et-Loire,Centre-Val de Loire,"5,5054","5,674113077","3,691836109","2,913832374","4,68"
Eure-et-Loir,Centre-Val de Loire,"5,5054","6,570940769","3,039928138","2,991005843","4,88"
Loir-et-Cher,Centre-Val de Loire,"5,5054","6,607124615","2,126671853","2,163715801","4,55"
Indre,Centre-Val de Loire,"5,5054","8,458743077","2,213512107","1,793514979","5,14"
Cher,Centre-Val de Loire,"5,5054","7,783767692","2,2211165","1,787657333","4,9"
Loiret,Centre-Val de Loire,"5,5054","6,54649","2,88504223","2,209439326","4,69"
Pyrénées-Orientales,Languedoc-Roussillon,"4,9806","5,865134615","2,803599073","2,898874066","4,44"
Gard,Languedoc-Roussillon,"4,9806","5,069898462","3,177143791","3,96167985","4,45"
Hérault,Languedoc-Roussillon,"4,9806","4,572396923","4,865271861","5,096987473","4,84"
Aude,Languedoc-Roussillon,"4,9806","5,806427692","2,005976924","3,449053194","4,37"
Lozère,Languedoc-Roussillon,"4,9806","6,097363846","0,6062096109","4,615902364","4,42"
Vaucluse,Provence-Alpes-Côte d'Azur,"4,1418","3,819600769","2,968516848","4,555428485","3,88"
Hautes-Alpes,Provence-Alpes-Côte d'Azur,"4,1418","5,487418462","2,260845864","4,503753925","4,31"
Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,"4,1418","6,100075385","1,646040956","4,608315775","4,42"
Var,Provence-Alpes-Côte d'Azur,"4,1418","4,100870769","4,117838776","4,731044388","4,24"
Alpes-Maritimes,Provence-Alpes-Côte d'Azur,"4,1418","3,663192308","5,137130136","2,712625835","3,89"
Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"4,1418","2,394438462","4,926956046","4,951170614","3,85"